project,total_project_merges,merge_sha,parent1_sha,parent2_sha
zinx,190,fbabb5948e2325ab484c4afd600299f10f603e21,9f12ff3c98c559595da381902fd9075fb1858057,bb78fb07b00262ea57e02fab24ace65f8021ad3a
aptly,309,666b5c9700a3c3e7a21fbd9b5fea9696b32fc390,2eabc6045f79fbc62dffa698750b2d279299bfae,9b9894c07d2fe6976ca5941848bfa95e900201a2
aptly,309,132c923f2513a17d3cbb5b14e90f9fd776f6b3e5,b6d83a4f614d4dcdbccd12d352a77e6c41936aae,66eb75f49290438a14a0df9477c885bbb2ba7f7e
semaphore,850,2ace5c82a419b5d58eff69c8c0faf3c8b4a20fbb,1aa3276c22ce7a31b2cddb863737f462575d04d8,f94764dd4428170b5d7c173a1180c38c23be8155
semaphore,850,a272c551dc9eeeffe49adabff35a798a6b0f4116,9141a34750a2f5efca52cf344ad89d2d570d58d2,6e452b29e48daa392dbd57a771c702c9cb8d01fc
semaphore,850,20631c57419f8de95d11d037ae8a2662b0a580c8,4843f12f05bb3684fb2de8f7a41a66f57f97b1d6,792da0ea24ccfcec529f32dcc4e92fb5755f9f5f
semaphore,850,b0bf230c1aa29370d0ff78e4ed7eef756e3f747b,8494987f8a6308f876aa0ee8b23160c6357456e7,461355d4bb76ba1bc4f54349af4fe33e69801e1d
semaphore,850,9f798c11b5abfd25fd3dc60901f682d9abaa0440,f82197832bbf98431ab0939fbc30dec59fd5ae3d,510ae359f1b97574d81c14ed4132b64bbb1a3d3e
aptly,309,27c15680e8a0ea7ec39a76dc4f806e67686c7dfa,2cafbc84843ba26924ab0a8d39458f0e2d2709f2,6dbb28b2b83641fb2aff15eb9f26f6cd2f97962d
semaphore,850,2d024ccc644d33e78b6d80e2ea77feac487f5ea3,2a3c373918c85c5089d56d4351a5a8c944c5e2fb,07c010b78b3ff6a6cde38117cc492326f01336a8
semaphore,850,6c6f5076ff8c1bb12aff4ba08311167ac6e8d756,51dae53358363f2c3d06cf95d88b914739aee668,91c317327cb11271c1c397a821f4a5a783c9315d
semaphore,850,5fe495c96291af1967a311218fb663010b8d358c,8fdc8f5a5ee4bd24c329e0b060a2f4e0a19c966d,0ff128fa6ca70b27f26fccb08af2597a24589d8c
semaphore,850,a74f5eb476a6742e8c89751a04175538257b8ff3,a463467ea4f2073f04a8f0bac7e5b062c1c79953,af77f8e6697d7e2ff217071099277b4f15b1a8e0
