project,total_project_merges,merge_sha,parent1_sha,parent2_sha
asciinema,138,6dc63b9c6fdcb153546e7884b6060d1f07efb7e1,206d328c95562238e47784a80d074773dc2b3386,c06d1ad9c980b7151692a2b5a1730841e711ad97
broot,211,0e9f342a4771729f612fdf2519e96652b10e13e6,9d9c9d6a040289db9b635cf4f7b6f9813c0101f0,f8da7405371d7bbc005288c0705b1ea3aedfe45a
broot,211,54ba161b442d2c2ee9e8fe12475b67158e933b10,d6f8c94c482e9a9bcc129324537a09cfb8dd24aa,606675984daa54e81ce5334f73b3eb3cb5014983
stacks-core,6310,7b68a6d9755fb022cf44bd15288653d258da67fe,9eacdef4d289c394e21ddbee6a8b241662261f55,f87444b410f82644a06af74faefb9face5611b5e
stacks-core,6310,03d84fabfd33794f6d37b01afa894bf50b84dfab,8f56fd4d45a88b25dc1c8869ee892edda579527a,e4c57fb1d4fae32135d9d02439e31d91e9e1d46b
stacks-core,6310,df0a7c9a0cf3cd7313e128e1b06312dadd150143,1a45565e11a457ccaa3a2f954fb212c7a974af31,06a01b599b3595bee8e16ccdd5ccfce07b890b25
stacks-core,6310,e9be296c9eecb02cf03ce1e1f72bea53f47044a1,e50555095ee3b12aa3d79641c1196fbb29e95e4a,be8256c00a4d9bb91b97b59695911f8c2a907a69
stacks-core,6310,7d8b675daecce4034c348a9d5b3c6563cdb06005,7fee690eba4295c6004f64aa9b63b97112fd531d,ae969ca5599938002c7790022d7988e084a4795b
stacks-core,6310,73ff46c6770106d7919d4693237159c5e5f93535,49727a34ab5ae3003bf903bad7873f1bc4348cb3,cff34c2bf98ac3ee15ab15da995b38c20e23ae8c
stacks-core,6310,461f03bf9e4e032d56741862fa7324b3090f249a,b3550e2ca3a231eaf4ffa674e9dca258f317794a,656187347d3bf58c9f27e8cb013dba1dbb0187fe
stacks-core,6310,9541920c339429208d28ca3407cc54db133ea492,8a38889d86ceb711662f59920a78efe3449ba919,cbb4fad32a2d1467c37d3ed3787f8963471fcf59
stacks-core,6310,e50555095ee3b12aa3d79641c1196fbb29e95e4a,01ed03322fecdcb57ead1de2199b00fbd18fe3b8,509b10312f66660169f6baaaec53a090c1969202
stacks-core,6310,5d38e93c3a23696184a6824f19d306d8052ba571,0f674a14a491fbd910f6315a9128ebc1fc0fffb3,bbab9e94ac682996d20512b7791adaa8925f2f3e
stacks-core,6310,3790bb87687de706ab23ce63e1641c587d8e56a6,c8757132fb57be953cef71d38769d4306863660d,2493ed1c6af48b57b279ea50e2ea8ff96ba33244
stacks-core,6310,e0b6ffe5bfafe579a59b34b6404081661e1aa261,c1a7ad4bc5a6a13ae7982508c20573a2347200a2,1e60445d12ada0816de74d7ebdf44d23045e1d0e
stacks-core,6310,46201351eb8f85555c6a7c1e4f1ce5c4c12e0a99,ffaf9e5a5877a3b8be99c6e1d390eb317db8001b,4747f9742c9b91823496cfba9cc80282ac16ead1
stacks-core,6310,744ec35f7fef2df8905a0a7b1da8f1901d2c12b5,80b98460813193a3c36ccc0568afe02a442991f7,e16b7ef3b680876dde97240e6e2089100a5575d2
stacks-core,6310,05bab1416435186e11980f6a56246edb282763df,52fd40e906581ef8f07a599374350bd9d9a7149a,4a7b90897691588e18222cdd776e4a1821d82757
stacks-core,6310,5b6e9761433acf08e3dc0f0418ed807c63ff2aee,5656fddbccd9e6f5169ac3498e0b9b5ecacc1e82,d2e3759561aac6ebba10e5819ac5d78e8582185b
stacks-core,6310,1700547724cbedefd3326f7eac8de0918c44c501,a5eb33c1ba51f9180c7941ea6a9005de179ad82a,6a2f68290a90dc78c8d0ea12101f3ebd419aa0f0
stacks-core,6310,5a0ea11b5fd1e126c30148c6548ab97e2c6fd6c8,6d2d27c9b5283834d1188aea5f2d4893cea95965,2153540b0dd4d9c276ee7829b3ea4d9951739d85
stacks-core,6310,ced3918555991ad4c8a3947b7c3e3daf233cab4d,ac065f2fcc43fccc00049ce6011c82368bf9bb6b,745ce55a5fc5efec3946ae89337b471d95ea6417
stacks-core,6310,9cf8ffd756fe83124f45f362a1b7b96016074b1b,30751e661d6f5e30cdaf3322b0c5c10c67795de5,418b0c71f98b41bf7d6c85db0c50c881c7ab7cce
stacks-core,6310,69c7667e66d741ca1eaebb440471a8f1ac2cc154,c95832905478d3e9395c7ceffb202d05bc13faee,281e076c249ac82027f9dfda6d09cf11e7d9b3f3
stacks-core,6310,b1c0de6c705a22f4e438cc1054e0ec1d28e8b8c8,3da96c1a3af20bd677a7d8bfd17dcfbcde86d78b,a30265c4f1ef85bbb3a8840b1f6207df368cae05
stacks-core,6310,f0e604223aff597cc9c22657161276eda9f60540,86f5e9785e369478f4aac24507a35e441e329d31,60e26fcecd87e0c6c31ca3b308154a1bc33cec08
stacks-core,6310,9bfebb396c36899cc962c42293146152512bcfc9,295e706f84ca6ee7c764973667804c8746056c11,6168284b1ff955b1d2c9c1437c05bbe0886f403f
stacks-core,6310,cf778e1e1a66818e81a8cb8a0be5c8d253eccdd5,95178d6ce2f6f264f7d4274d6bedd50fbd9f36bf,49727a34ab5ae3003bf903bad7873f1bc4348cb3
stacks-core,6310,24a3fff3429d419a9bf248c456bb9da81e89fce5,c2fad408d753e88244d8ef5fabcdefcce2129b01,59213ab269ddcb823850f5da412189ca57ca9c43
stacks-core,6310,736c4164a849f5fa9ef41082be56f995a10dcfa3,de360c6895abfaf010c0a3d68d98394105821f67,3da96c1a3af20bd677a7d8bfd17dcfbcde86d78b
stacks-core,6310,91eaf81d7d624c2ceeffbdac120c32b683af8579,12e6f4c44d7d920d3496b758a5aceb29784011ae,1ab867dadce7890f154303ed8daebbc5c5486447
navi,150,03618b55fdbd8d22023b8dd30787b04608a017b8,0531554816d1d6c65626b9cbfddceb832ac09cf6,436278cc8ea7739c957b4e6745693bd3615b827f
navi,150,9a6fae871ad66e40dd9d0baafc638b8490cf2b1f,d8d0c099aea61a6d9717fab02ce446497b007c48,839d33fbcfab70877f2e0d5d24ea22b6c52e94ab
navi,150,445f9be247134664b316078eaa7dd5aba6ca4610,138b7e0b0086f6c2d3cfd8274d7e616c5e980ab8,48fd4db08db61598d4f877efe95c5a9344173cdb
navi,150,10ddffbe727509d4c91fb69a60f1c702cca148d1,7b32a0d45d2c063d39ec04c0f0ddeba666c21d81,1060b2101906e2fceebc0097240a82e99f660efa
navi,150,77b9013a4b902ac14cc20e218542b8b6400f4b1f,c35bd94a703ab8f0b40d5228c2eb8a994567175f,c0898e3aedf4071a46e5c224b56ec757c7b34613
stacks-core,6310,d1e98b041f6a108785f351765e35457df504b063,00a70b8cd7465abb83408c72b19a85546b81afad,d7cd95ec659c24c24b9ec5a19f96906f7b457e4c
stacks-core,6310,57831414cc1550212dc39dcbadc065b895f00d21,2ebf15ed9a1c3d7c80ca4c9c45f31f03f5c163f7,c76743e85a620a2a62daf14b56eae0b9e62b08ab
stacks-core,6310,2827e41a485ae05a49f9333706a3c6858918eff5,318e18586c6733b18fcffca184dc715f11f45b79,7ff75a23439879a1316b1423587bfd0dac17a44f
stacks-core,6310,22de8cf55a69d24f1b4b183e45744fcc8a243c97,42d2b4ba4de5f71f870ce73d6a1d906f3bd0c92b,927747ce23a0676e119c16d6a6971f0d63c2f0ae
stacks-core,6310,a457ab804cc343093aae37324ecaad70445e8207,f3e1c52cbe80d6ba037a167826f8048b99440be3,3f30b6a376e247467385c0bd6bff5f2369fe8639
stacks-core,6310,fa2fce442adb0d9d869394efd060db683c4978ed,c8bb20f0f3d0da92759f1f84d72a0ac038f649d1,7d6300366c62b4203dfa47c90056e8a982e78750
stacks-core,6310,1e4c9f400ff8db4a652fc1b27df7ec9c2b4e8baf,a85013466a693cd3b23d8aa969d682e106cd3391,d966da5b0c34c0fd53e3744505f0c56b51ec5cc9
stacks-core,6310,ca4431cedbc5c562fb8114356b96584adb39e33c,a1fef6077ef9946d0a8579553fd2ca215c3c813b,d22bad7056968bcde3710cab44fed8394326cd68
