project,name,path
ARouter,alibaba/ARouter,https://github.com/alibaba/ARouter
dragonwell8,dragonwell-project/dragonwell8,https://github.com/dragonwell-project/dragonwell8
nacos,alibaba/nacos,https://github.com/alibaba/nacos
QLExpress,alibaba/QLExpress,https://github.com/alibaba/QLExpress
ipscan,angryip/ipscan,https://github.com/angryip/ipscan
AntennaPod,AntennaPod/AntennaPod,https://github.com/AntennaPod/AntennaPod
Mindustry,Anuken/Mindustry,https://github.com/Anuken/Mindustry
beam,apache/beam,https://github.com/apache/beam
cassandra,apache/cassandra,https://github.com/apache/cassandra
commons-lang,apache/commons-lang,https://github.com/apache/commons-lang
dubbo,apache/dubbo,https://github.com/apache/dubbo
groovy,apache/groovy,https://github.com/apache/groovy
shardingsphere,apache/shardingsphere,https://github.com/apache/shardingsphere
nutch,apache/nutch,https://github.com/apache/nutch
shiro,apache/shiro,https://github.com/apache/shiro
tomcat,apache/tomcat,https://github.com/apache/tomcat
cas,apereo/cas,https://github.com/apereo/cas
AxonFramework,AxonFramework/AxonFramework,https://github.com/AxonFramework/AxonFramework
mybatis-plus,baomidou/mybatis-plus,https://github.com/baomidou/mybatis-plus
Bastillion,bastillion-io/Bastillion,https://github.com/bastillion-io/Bastillion
bisq,bisq-network/bisq,https://github.com/bisq-network/bisq
classgraph,classgraph/classgraph,https://github.com/classgraph/classgraph
corretto-8,corretto/corretto-8,https://github.com/corretto/corretto-8
cim,crossoverJie/cim,https://github.com/crossoverJie/cim
cryptomator,cryptomator/cryptomator,https://github.com/cryptomator/cryptomator
dbeaver,dbeaver/dbeaver,https://github.com/dbeaver/dbeaver
vert.x,eclipse-vertx/vert.x,https://github.com/eclipse-vertx/vert.x
jetty.project,jetty/jetty.project,https://github.com/jetty/jetty.project
openj9,eclipse-openj9/openj9,https://github.com/eclipse-openj9/openj9
elasticsearch,elastic/elasticsearch,https://github.com/elastic/elasticsearch
jackson-annotations,FasterXML/jackson-annotations,https://github.com/FasterXML/jackson-annotations
jackson-core,FasterXML/jackson-core,https://github.com/FasterXML/jackson-core
jackson-databind,FasterXML/jackson-databind,https://github.com/FasterXML/jackson-databind
gephi,gephi/gephi,https://github.com/gephi/gephi
graphql-java,graphql-java/graphql-java,https://github.com/graphql-java/graphql-java
graylog2-server,Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server
h2database,h2database/h2database,https://github.com/h2database/h2database
hsweb-framework,hs-web/hsweb-framework,https://github.com/hs-web/hsweb-framework
Apktool,iBotPeaches/Apktool,https://github.com/iBotPeaches/Apktool
Openfire,igniterealtime/Openfire,https://github.com/igniterealtime/Openfire
Smack,igniterealtime/Smack,https://github.com/igniterealtime/Smack
immutables,immutables/immutables,https://github.com/immutables/immutables
javaparser,javaparser/javaparser,https://github.com/javaparser/javaparser
jenkins,jenkinsci/jenkins,https://github.com/jenkinsci/jenkins
jsoup,jhy/jsoup,https://github.com/jhy/jsoup
jmonkeyengine,jMonkeyEngine/jmonkeyengine,https://github.com/jMonkeyEngine/jmonkeyengine
assertj,assertj/assertj,https://github.com/assertj/assertj
JSqlParser,JSQLParser/JSqlParser,https://github.com/JSQLParser/JSqlParser
junit-framework,junit-team/junit-framework,https://github.com/junit-team/junit-framework
drools,kiegroup/drools,https://github.com/kiegroup/drools
XChange,knowm/XChange,https://github.com/knowm/XChange
bytecode-viewer,Konloch/bytecode-viewer,https://github.com/Konloch/bytecode-viewer
languagetool,languagetool-org/languagetool,https://github.com/languagetool-org/languagetool
micrometer,micrometer-metrics/micrometer,https://github.com/micrometer-metrics/micrometer
micronaut-core,micronaut-projects/micronaut-core,https://github.com/micronaut-projects/micronaut-core
generator,mybatis/generator,https://github.com/mybatis/generator
mybatis-3,mybatis/mybatis-3,https://github.com/mybatis/mybatis-3
