project,name,path,first_buildable_sha,first_buildable_date
eleventy,11ty/eleventy,https://github.com/11ty/eleventy,4e97e017714f97025409af437fe0d17694dc6bb6,2024-12-30T17:40:28Z
Aloha-Editor,alohaeditor/Aloha-Editor,https://github.com/alohaeditor/Aloha-Editor,9ded17d389fc0d54c828c369ea6f67b5e764248a,2025-01-15T16:13:58Z
cesium,CesiumGS/cesium,https://github.com/CesiumGS/cesium,92027ec803b548b8f358c873b98df7d4cedb0a6a,2024-12-25T19:28:57Z
apexcharts.js,apexcharts/apexcharts.js,https://github.com/apexcharts/apexcharts.js,2aac8d36291838afd3ff5f1d6de07d94b2f573b9,2024-12-25T10:36:57Z
dejavu,appbaseio/dejavu,https://github.com/appbaseio/dejavu,68f7354b1376a84a40a20e5025661c1db0c3782e,2025-04-09T09:43:18Z
mongoose,Automattic/mongoose,https://github.com/Automattic/mongoose,5a04290f4b5911046f3f2774873a136e785cde29,2024-12-26T19:02:48Z
trix,basecamp/trix,https://github.com/basecamp/trix,7bf3e5aae233942a4f03d18c23d0bbd240277328,2024-12-20T18:24:23Z
bigbluebutton,bigbluebutton/bigbluebutton,https://github.com/bigbluebutton/bigbluebutton,2f630e315aa9a65e456f85af04b9fa2ca8f74b14,2025-01-13T20:27:03Z
bootstrap-vue,bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,bf2ff746dc747cae08cdf659730beab2400264fd,2025-01-04T10:33:06Z
bpmn-js,bpmn-io/bpmn-js,https://github.com/bpmn-io/bpmn-js,a44af7addaae5a0509baaf040621c110e5b56c75,2025-01-06T10:53:57Z
resolve,browserify/resolve,https://github.com/browserify/resolve,32b51a583e3768f7a61535732d9e236992ba88eb,2024-12-29T09:19:44Z
CodeceptJS,codeceptjs/CodeceptJS,https://github.com/codeceptjs/CodeceptJS,ed6d52abf97ca37263be35c99c5ead099e243e75,2025-01-02T14:58:30Z
codecombat,codecombat/codecombat,https://github.com/codecombat/codecombat,0a5204565fce6a2d12911f0bc54def763f0b22a8,2024-12-26T08:52:20Z
converse.js,conversejs/converse.js,https://github.com/conversejs/converse.js,74e7556f29366bd5b56d4dd3d30057b78061b85e,2024-12-26T06:17:42Z
coreui-free-react-admin-template,coreui/coreui-free-react-admin-template,https://github.com/coreui/coreui-free-react-admin-template,f9c3612a2cfb05b0837be6ad229d50f5a276139b,2025-02-04T11:10:43Z
countly-server,Countly/countly-server,https://github.com/Countly/countly-server,b6c1a986f9ee6f7cb4f132b552b5c9df02a96376,2024-12-27T11:05:45Z
DOMPurify,cure53/DOMPurify,https://github.com/cure53/DOMPurify,bdef5df8d197b171697a8b65e785a18003282632,2024-12-25T08:20:21Z
cytoscape.js,cytoscape/cytoscape.js,https://github.com/cytoscape/cytoscape.js,ba83c4ec3abc63cb1ccd53c9671ec990536ee802,2025-01-06T21:46:13Z
d2-admin,d2-projects/d2-admin,https://github.com/d2-projects/d2-admin,7982f6b1c2acbc244b68c0ab3a2560a894d7233f,2020-06-07T15:24:30Z
dagre,dagrejs/dagre,https://github.com/dagrejs/dagre,3c6952ea1b478ca7291b610367335a309a0dd77a,2025-05-11T05:33:11Z
dygraphs,danvk/dygraphs,https://github.com/danvk/dygraphs,864cdd5ec702bfaa1d27769d6d79e042967772d8,2025-01-10T21:49:03Z
iframe-resizer,davidjbradshaw/iframe-resizer,https://github.com/davidjbradshaw/iframe-resizer,8a2e3e30394f34b13f4973049a1422f9da0f67c4,2025-01-13T16:38:15Z
axe-core,dequelabs/axe-core,https://github.com/dequelabs/axe-core,11de515858a7c10a3d7400163fc2b834715152fc,2025-01-06T12:45:50Z
serverless-offline,dherault/serverless-offline,https://github.com/dherault/serverless-offline,b92478f27a063a6da41a3e29f17305a5d58645c5,2025-01-04T22:57:17Z
mpx,didi/mpx,https://github.com/didi/mpx,f50320cef52dca4247dd7f9bd15c14f6f1e6067f,2024-12-24T15:12:36Z
docsify,docsifyjs/docsify,https://github.com/docsifyjs/docsify,c18df4c46bcec76dbc16507e8135b929af8fb7f8,2025-01-02T02:21:09Z
ember-cli,ember-cli/ember-cli,https://github.com/ember-cli/ember-cli,1520ec2c2041209a3796d655299482399b87d231,2024-12-25T19:20:51Z
multer,expressjs/multer,https://github.com/expressjs/multer,d0782a5cad774bf6296c9fe9be16bb56081c600b,2025-03-20T11:00:33Z
ua-parser-js,faisalman/ua-parser-js,https://github.com/faisalman/ua-parser-js,98e0708f2543fdce20f35e5b9c34a43b09e1ed29,2025-02-06T04:42:18Z
functions-samples,firebase/functions-samples,https://github.com/firebase/functions-samples,d2532012d6089677ced06f6a3f14155953847563,2024-11-12T19:06:19Z
form-data,form-data/form-data,https://github.com/form-data/form-data,e997b908b4e0337d8c2794561569341122be38dc,2025-02-13T18:00:00Z
gantt,frappe/gantt,https://github.com/frappe/gantt,1d78ec1be90e0171dc0da2e14e57361dc8c8d458,2025-01-09T08:56:07Z
Micromodal,micromodal/Micromodal,https://github.com/micromodal/Micromodal,a45e3401103653d6f34074bcfaa6e9ae08f29dc2,2025-03-18T13:49:53Z
relative-time-element,github/relative-time-element,https://github.com/github/relative-time-element,a80c1bf3fad1703c1c54fb605e422d48bc00b695,2024-12-10T13:26:30Z
workbox,GoogleChrome/workbox,https://github.com/GoogleChrome/workbox,9c73193406c45423b24a404e4b77c30a2e8759f8,2024-12-11T17:00:15Z
habitica,HabitRPG/habitica,https://github.com/HabitRPG/habitica,ff2b4add8b6b473f770542c88de6038b5afc3736,2024-12-30T15:06:20Z
reveal.js,hakimel/reveal.js,https://github.com/hakimel/reveal.js,6527f4d9124fae9256a5bbc7f04db449835e59db,2025-01-13T12:13:30Z
handsontable,handsontable/handsontable,https://github.com/handsontable/handsontable,138520bc7e8aaabd450af62ae3131918f014c870,2025-01-02T12:40:59Z
node-portfinder,http-party/node-portfinder,https://github.com/http-party/node-portfinder,0d2730bdffc05b12f822a5e51dd52884096e63d7,2025-02-26T21:14:40Z
Flotr2,HumbleSoftware/Flotr2,https://github.com/HumbleSoftware/Flotr2,a6429f5bc323b0abba2fe73d4a994596a97b72ae,2025-08-21T00:40:39Z
jasmine,jasmine/jasmine,https://github.com/jasmine/jasmine,7683325d687d559d68dcc856aa99c88830aec801,2024-12-31T18:10:40Z
drawio-desktop,jgraph/drawio-desktop,https://github.com/jgraph/drawio-desktop,96fa402e561f3832701ebf04a071c0dbc5860fc8,2025-01-03T12:19:13Z
two.js,jonobr1/two.js,https://github.com/jonobr1/two.js,0050ec791b958bfbdb29af52d46893c831faf06c,2024-12-27T23:14:30Z
mathjs,josdejong/mathjs,https://github.com/josdejong/mathjs,29abd1701b354e215cdeb8ef9dda57dfa16c78ee,2025-01-06T08:31:00Z
js.org,js-org/js.org,https://github.com/js-org/js.org,d23304b779175768f8284679c9f3c1159b450e7c,2024-12-30T07:35:45Z
formBuilder,kevinchappell/formBuilder,https://github.com/kevinchappell/formBuilder,f6a5bc70800087555827df8886a093f11cd1dcec,2025-05-01T06:28:01Z
qs,ljharb/qs,https://github.com/ljharb/qs,9d441d270486c3cc77f17289a9e0921c0f742aff,2026-02-13T00:07:27Z
scratch-blocks,scratchfoundation/scratch-blocks,https://github.com/scratchfoundation/scratch-blocks,0e2f7b038bf3ef8b16ee8edc732ce9a7ca59cefa,2025-04-08T21:45:26Z
node-config,node-config/node-config,https://github.com/node-config/node-config,b23cfd20c8f88ec3c2636f08855222b670444fd2,2025-04-10T00:30:44Z
mailcow-dockerized,mailcow/mailcow-dockerized,https://github.com/mailcow/mailcow-dockerized,d09e4ff0209515cca58e1c502da648b5b86287da,2024-12-11T02:06:10Z
bootbox,bootboxjs/bootbox,https://github.com/bootboxjs/bootbox,406473fd8002c2c84266ad7e12d08ce5e4bb5de8,2025-01-12T01:22:04Z
meteor,meteor/meteor,https://github.com/meteor/meteor,3e9a981a9b2ea01310f99b46bdea1f96ec1ab2fd,2024-12-30T17:48:16Z
braces,micromatch/braces,https://github.com/micromatch/braces,19803f15a34908a8bacc2a931930701623f58dac,2025-01-07T13:34:03Z
moleculer,moleculerjs/moleculer,https://github.com/moleculerjs/moleculer,b97408ef6224111f2d29661e6a7619bb11dfe222,2025-01-09T09:35:54Z
luxon,moment/luxon,https://github.com/moment/luxon,0d267fa3c627ee26c3c033af1e72dba3d0ab3127,2025-01-17T15:55:17Z
pdf.js,mozilla/pdf.js,https://github.com/mozilla/pdf.js,c58f69dda4e89630f6f9a970c6b1615bf9d2fcde,2024-12-26T10:34:36Z
node-red,node-red/node-red,https://github.com/node-red/node-red,3da22882e9eb8281bdd50bd397857d3b74aa6b02,2025-01-07T16:30:35Z
NodeBB,NodeBB/NodeBB,https://github.com/NodeBB/NodeBB,b32b7fccffd63fa12f12d5e1bfcb97d7a3c14927,2025-04-30T19:18:05Z
noVNC,novnc/noVNC,https://github.com/novnc/noVNC,3193f808b5366392de94c1a9b144fc6845daeabb,2024-12-27T13:48:20Z
tabulator,olifolkerd/tabulator,https://github.com/olifolkerd/tabulator,000373b7bd2e9254417d8a935eb28689d5e8a250,2025-01-19T14:10:16Z
metroui,olton/metroui,https://github.com/olton/metroui,a0aca9fea69c69c617dfea31ecae51f3f7b6e73f,2025-01-24T15:38:37Z
openlayers,openlayers/openlayers,https://github.com/openlayers/openlayers,45524ab251f3f4390a6a1a64df0f36f6d06af8ca,2024-12-25T17:54:09Z
openseadragon,openseadragon/openseadragon,https://github.com/openseadragon/openseadragon,9527f15f52f859ae5f565fc56dc7938930143828,2025-01-02T05:45:12Z
iD,openstreetmap/iD,https://github.com/openstreetmap/iD,c7572c070f308694ae066bf2a6e1edac02ee1974,2025-01-07T08:40:07Z
luci,openwrt/luci,https://github.com/openwrt/luci,2da1efba3859df23fca35096b8e9d7e0821e0d8e,2024-12-25T15:41:42Z
orbitdb,orbitdb/orbitdb,https://github.com/orbitdb/orbitdb,9612a61c6fe7dd2155d7264a9d0744f5449243aa,2025-01-25T11:27:57Z
treestyletab,piroor/treestyletab,https://github.com/piroor/treestyletab,25c17e7c41ceefc0fcf37d9e2096635b20130d0d,2025-05-21T07:49:51Z
engine,playcanvas/engine,https://github.com/playcanvas/engine,764ca7140c9a59c5da4b8ced37c2ca4eac43f876,2024-12-27T07:50:27Z
plop,plopjs/plop,https://github.com/plopjs/plop,1b974854bb76945eccddfeb5ac14723a99ab00b5,2025-09-04T04:45:41Z
plotly.js,plotly/plotly.js,https://github.com/plotly/plotly.js,2d94bef77c25ca0da14659db14d57c5c1c662bbf,2024-11-13T15:40:20Z
preact,preactjs/preact,https://github.com/preactjs/preact,a32924c548a6b295325a6fd63e0ef51d4adb9220,2024-12-27T11:19:51Z
prettier,prettier/prettier,https://github.com/prettier/prettier,69a0172bdb0bbcbe9c48e288544a90cb5073c23b,2025-01-05T23:16:49Z
p5.js,processing/p5.js,https://github.com/processing/p5.js,4443f7c0391f45d608a1dc2cf6764aaa061e1ad0,2024-12-20T21:03:48Z
rabbitmq-server,rabbitmq/rabbitmq-server,https://github.com/rabbitmq/rabbitmq-server,b836ca1d0824d8d4c24a62985ce869c388697c79,2024-12-27T20:21:05Z
nodemon,remy/nodemon,https://github.com/remy/nodemon,8fc12e862ff7b2a84900abcc068c4085080074af,2025-03-15T18:09:14Z
layui,layui/layui,https://github.com/layui/layui,dfe2703d4d185f4eba3eb9afa5faa5edfa1070e0,2024-12-25T11:15:41Z
vue-multiselect,shentao/vue-multiselect,https://github.com/shentao/vue-multiselect,29b13ec3faaa456c084267faf6b650eb79a1774c,2024-12-30T09:49:04Z
amqplib,amqp-node/amqplib,https://github.com/amqp-node/amqplib,b2c82f5b82f060610f5f775996e9ce59cc8482c3,2024-12-28T10:24:49Z
svelte,sveltejs/svelte,https://github.com/sveltejs/svelte,7f8acb8a3705e1c9612f0d56e3a94596f0db1ef3,2024-12-24T15:39:03Z
webpack-encore,symfony/webpack-encore,https://github.com/symfony/webpack-encore,d3c7d485264301ceffeadf28e597c15f0599cec5,2025-04-09T08:19:46Z
commander.js,tj/commander.js,https://github.com/tj/commander.js,49423a288b6561190461bf91231a18085e60dad4,2024-12-27T01:51:31Z
Ghost,TryGhost/Ghost,https://github.com/TryGhost/Ghost,6af63328e78f6a381c1cc18bcd094e53362cde40,2025-05-28T09:10:40Z
pm2,Unitech/pm2,https://github.com/Unitech/pm2,6940db7c37360891e68e226915b1275075b8e3df,2024-09-24T11:11:21Z
supertest,forwardemail/supertest,https://github.com/forwardemail/supertest,96c06e3dcb88c4a7c4cb02b046694af6e1d78654,2025-03-19T09:51:43Z
kareem,mongoosejs/kareem,https://github.com/mongoosejs/kareem,bfb903df63b9593cdae5722dd938bde9b39a8741,2025-03-19T21:01:11Z
webpack,webpack/webpack,https://github.com/webpack/webpack,87310da049cc2361ece0273daef7e5e46dc6d3f5,2024-12-27T06:44:06Z
wekan,wekan/wekan,https://github.com/wekan/wekan,93868fd9051d62452be4e5f853356cb85e03a347,2024-12-25T04:47:51Z
awesome-uses,wesbos/awesome-uses,https://github.com/wesbos/awesome-uses,751da673aea0f59ad27c9cf16ddf3eaacf534a72,2024-12-31T02:10:50Z
Detox,wix/Detox,https://github.com/wix/Detox,01aa325b8776dc0c8293e56ec0abc8654dc2dd2b,2024-12-25T08:27:18Z
cryptpad,cryptpad/cryptpad,https://github.com/cryptpad/cryptpad,bf156afebc8a0e5bbca5a45e27a7589f2ccd1425,2025-09-29T13:03:37Z
core-js,zloirock/core-js,https://github.com/zloirock/core-js,2b0fc5ed8a43a58be378b8a0f0afecbc90b41284,2024-12-27T21:33:51Z
