project,name,path
aiohttp,aio-libs/aiohttp,https://github.com/aio-libs/aiohttp
LaZagne,AlessandroZ/LaZagne,https://github.com/AlessandroZ/LaZagne
sh,amoffat/sh,https://github.com/amoffat/sh
androguard,androguard/androguard,https://github.com/androguard/androguard
angr,angr/angr,https://github.com/angr/angr
dotbot,anishathalye/dotbot,https://github.com/anishathalye/dotbot
libcloud,apache/libcloud,https://github.com/apache/libcloud
astropy,astropy/astropy,https://github.com/astropy/astropy
aws-cli,aws/aws-cli,https://github.com/aws/aws-cli
serverless-application-model,aws/serverless-application-model,https://github.com/aws/serverless-application-model
beets,beetbox/beets,https://github.com/beetbox/beets
behave,behave/behave,https://github.com/behave/behave
gunicorn,benoitc/gunicorn,https://github.com/benoitc/gunicorn
orange3,biolab/orange3,https://github.com/biolab/orange3
pipreqs,bndr/pipreqs,https://github.com/bndr/pipreqs
dramatiq,Bogdanp/dramatiq,https://github.com/Bogdanp/dramatiq
borg,borgbackup/borg,https://github.com/borgbackup/borg
boto3,boto/boto3,https://github.com/boto/boto3
buildbot,buildbot/buildbot,https://github.com/buildbot/buildbot
gspread,burnash/gspread,https://github.com/burnash/gspread
ivre,ivre/ivre,https://github.com/ivre/ivre
certbot,certbot/certbot,https://github.com/certbot/certbot
ckan,ckan/ckan,https://github.com/ckan/ckan
huey,coleifer/huey,https://github.com/coleifer/huey
conan,conan-io/conan,https://github.com/conan-io/conan
conda,conda/conda,https://github.com/conda/conda
cookiecutter,cookiecutter/cookiecutter,https://github.com/cookiecutter/cookiecutter
gpytorch,cornellius-gp/gpytorch,https://github.com/cornellius-gp/gpytorch
cupy,cupy/cupy,https://github.com/cupy/cupy
jedi,davidhalter/jedi,https://github.com/davidhalter/jedi
mycli,dbcli/mycli,https://github.com/dbcli/mycli
django-guardian,django-guardian/django-guardian,https://github.com/django-guardian/django-guardian
django-import-export,django-import-export/django-import-export,https://github.com/django-import-export/django-import-export
django-oscar,django-oscar/django-oscar,https://github.com/django-oscar/django-oscar
edx-platform,edx/edx-platform,https://github.com/edx/edx-platform
espnet,espnet/espnet,https://github.com/espnet/espnet
pyTelegramBotAPI,eternnoir/pyTelegramBotAPI,https://github.com/eternnoir/pyTelegramBotAPI
opensnitch,evilsocket/opensnitch,https://github.com/evilsocket/opensnitch
fail2ban,fail2ban/fail2ban,https://github.com/fail2ban/fail2ban
flair,flairNLP/flair,https://github.com/flairNLP/flair
flask-admin,pallets-eco/flask-admin,https://github.com/pallets-eco/flask-admin
fonttools,fonttools/fonttools,https://github.com/fonttools/fonttools
OctoPrint,OctoPrint/OctoPrint,https://github.com/OctoPrint/OctoPrint
erpnext,frappe/erpnext,https://github.com/frappe/erpnext
freqtrade,freqtrade/freqtrade,https://github.com/freqtrade/freqtrade
pwntools,Gallopsled/pwntools,https://github.com/Gallopsled/pwntools
osmnx,gboeing/osmnx,https://github.com/gboeing/osmnx
Python,geekcomputers/Python,https://github.com/geekcomputers/Python
psutil,giampaolo/psutil,https://github.com/giampaolo/psutil
GitPython,gitpython-developers/GitPython,https://github.com/gitpython-developers/GitPython
jax,jax-ml/jax,https://github.com/jax-ml/jax
google-cloud-python,googleapis/google-cloud-python,https://github.com/googleapis/google-cloud-python
core,home-assistant/core,https://github.com/home-assistant/core
hy,hylang/hy,https://github.com/hylang/hy
hypothesis,HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis
imagededup,idealo/imagededup,https://github.com/idealo/imagededup
ipython,ipython/ipython,https://github.com/ipython/ipython
dj-database-url,jazzband/dj-database-url,https://github.com/jazzband/dj-database-url
buku,jarun/buku,https://github.com/jarun/buku
GAM,GAM-team/GAM,https://github.com/GAM-team/GAM
django-debug-toolbar,django-commons/django-debug-toolbar,https://github.com/django-commons/django-debug-toolbar
pip-tools,jazzband/pip-tools,https://github.com/jazzband/pip-tools
OCRmyPDF,ocrmypdf/OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF
tenacity,jd/tenacity,https://github.com/jd/tenacity
django-environ,joke2k/django-environ,https://github.com/joke2k/django-environ
wcwidth,jquast/wcwidth,https://github.com/jquast/wcwidth
jumpserver,jumpserver/jumpserver,https://github.com/jumpserver/jumpserver
jupyterhub,jupyterhub/jupyterhub,https://github.com/jupyterhub/jupyterhub
vcrpy,kevin1024/vcrpy,https://github.com/kevin1024/vcrpy
python-for-android,kivy/python-for-android,https://github.com/kivy/python-for-android
idna,kjd/idna,https://github.com/kjd/idna
kornia,kornia/kornia,https://github.com/kornia/kornia
calibre,kovidgoyal/calibre,https://github.com/kovidgoyal/calibre
kitty,kovidgoyal/kitty,https://github.com/kovidgoyal/kitty
Radicale,Kozea/Radicale,https://github.com/Kozea/Radicale
WeasyPrint,Kozea/WeasyPrint,https://github.com/Kozea/WeasyPrint
netmiko,ktbyers/netmiko,https://github.com/ktbyers/netmiko
python,kubernetes-client/python,https://github.com/kubernetes-client/python
tensorboardX,lanpa/tensorboardX,https://github.com/lanpa/tensorboardX
theHarvester,laramies/theHarvester,https://github.com/laramies/theHarvester
authlib,authlib/authlib,https://github.com/authlib/authlib
DjangoBlog,liangliangyy/DjangoBlog,https://github.com/liangliangyy/DjangoBlog
python-qrcode,lincolnloop/python-qrcode,https://github.com/lincolnloop/python-qrcode
locust,locustio/locust,https://github.com/locustio/locust
mackup,lra/mackup,https://github.com/lra/mackup
lutris,lutris/lutris,https://github.com/lutris/lutris
lxml,lxml/lxml,https://github.com/lxml/lxml
Mailu,Mailu/Mailu,https://github.com/Mailu/Mailu
marshmallow,marshmallow-code/marshmallow,https://github.com/marshmallow-code/marshmallow
matplotlib,matplotlib/matplotlib,https://github.com/matplotlib/matplotlib
dirsearch,maurosoria/dirsearch,https://github.com/maurosoria/dirsearch
meson,mesonbuild/meson,https://github.com/mesonbuild/meson
picard,metabrainz/picard,https://github.com/metabrainz/picard
onionshare,onionshare/onionshare,https://github.com/onionshare/onionshare
recommenders,recommenders-team/recommenders,https://github.com/recommenders-team/recommenders
mindsdb,mindsdb/mindsdb,https://github.com/mindsdb/mindsdb
mongoengine,MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine
mopidy,mopidy/mopidy,https://github.com/mopidy/mopidy
sslyze,nabla-c0d3/sslyze,https://github.com/nabla-c0d3/sslyze
netbox,netbox-community/netbox,https://github.com/netbox-community/netbox
glances,nicolargo/glances,https://github.com/nicolargo/glances
nltk,nltk/nltk,https://github.com/nltk/nltk
websockify,novnc/websockify,https://github.com/novnc/websockify
Nuitka,Nuitka/Nuitka,https://github.com/Nuitka/Nuitka
numba,numba/numba,https://github.com/numba/numba
numpy,numpy/numpy,https://github.com/numpy/numpy
oauthlib,oauthlib/oauthlib,https://github.com/oauthlib/oauthlib
cvat,cvat-ai/cvat,https://github.com/cvat-ai/cvat
ODM,OpenDroneMap/ODM,https://github.com/OpenDroneMap/ODM
optuna,optuna/optuna,https://github.com/optuna/optuna
ERNIE,PaddlePaddle/ERNIE,https://github.com/PaddlePaddle/ERNIE
click,pallets/click,https://github.com/pallets/click
flask,pallets/flask,https://github.com/pallets/flask
jinja,pallets/jinja,https://github.com/pallets/jinja
werkzeug,pallets/werkzeug,https://github.com/pallets/werkzeug
ydata-profiling,ydataai/ydata-profiling,https://github.com/ydataai/ydata-profiling
django-allauth,pennersr/django-allauth,https://github.com/pennersr/django-allauth
ArchiveBox,ArchiveBox/ArchiveBox,https://github.com/ArchiveBox/ArchiveBox
dash,plotly/dash,https://github.com/plotly/dash
plotly.py,plotly/plotly.py,https://github.com/plotly/plotly.py
pokeapi,PokeAPI/pokeapi,https://github.com/PokeAPI/pokeapi
isso,isso-comments/isso,https://github.com/isso-comments/isso
pre-commit,pre-commit/pre-commit,https://github.com/pre-commit/pre-commit
pwndbg,pwndbg/pwndbg,https://github.com/pwndbg/pwndbg
pycodestyle,PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle
pylint,pylint-dev/pylint,https://github.com/pylint-dev/pylint
cookiecutter-django,cookiecutter/cookiecutter-django,https://github.com/cookiecutter/cookiecutter-django
pyramid,Pylons/pyramid,https://github.com/Pylons/pyramid
pip,pypa/pip,https://github.com/pypa/pip
pipenv,pypa/pipenv,https://github.com/pypa/pipenv
pyparsing,pyparsing/pyparsing,https://github.com/pyparsing/pyparsing
pyqtgraph,pyqtgraph/pyqtgraph,https://github.com/pyqtgraph/pyqtgraph
pytest,pytest-dev/pytest,https://github.com/pytest-dev/pytest
Pillow,python-pillow/Pillow,https://github.com/python-pillow/Pillow
trio,python-trio/trio,https://github.com/python-trio/trio
folium,python-visualization/folium,https://github.com/python-visualization/folium
kedro,kedro-org/kedro,https://github.com/kedro-org/kedro
qutebrowser,qutebrowser/qutebrowser,https://github.com/qutebrowser/qutebrowser
pywebview,r0x0r/pywebview,https://github.com/r0x0r/pywebview
ranger,ranger/ranger,https://github.com/ranger/ranger
gensim,piskvorky/gensim,https://github.com/piskvorky/gensim
rqalpha,ricequant/rqalpha,https://github.com/ricequant/rqalpha
pytorch-image-models,huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models
salt,saltstack/salt,https://github.com/saltstack/salt
NewsBlur,samuelclay/NewsBlur,https://github.com/samuelclay/NewsBlur
visidata,saulpw/visidata,https://github.com/saulpw/visidata
scikit-image,scikit-image/scikit-image,https://github.com/scikit-image/scikit-image
scipy,scipy/scipy,https://github.com/scipy/scipy
scrapy,scrapy/scrapy,https://github.com/scrapy/scrapy
sherlock,sherlock-project/sherlock,https://github.com/sherlock-project/sherlock
freezegun,spulec/freezegun,https://github.com/spulec/freezegun
spyder,spyder-ide/spyder,https://github.com/spyder-ide/spyder
sqlalchemy,sqlalchemy/sqlalchemy,https://github.com/sqlalchemy/sqlalchemy
statsmodels,statsmodels/statsmodels,https://github.com/statsmodels/statsmodels
sympy,sympy/sympy,https://github.com/sympy/sympy
Tautulli,Tautulli/Tautulli,https://github.com/Tautulli/Tautulli
datasets,tensorflow/datasets,https://github.com/tensorflow/datasets
Python,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python
isort,PyCQA/isort,https://github.com/PyCQA/isort
tornado,tornadoweb/tornado,https://github.com/tornadoweb/tornado
python-markdown2,trentm/python-markdown2,https://github.com/trentm/python-markdown2
tweepy,tweepy/tweepy,https://github.com/tweepy/tweepy
twisted,twisted/twisted,https://github.com/twisted/twisted
speech_recognition,Uberi/speech_recognition,https://github.com/Uberi/speech_recognition
Cura,Ultimaker/Cura,https://github.com/Ultimaker/Cura
vnpy,vnpy/vnpy,https://github.com/vnpy/vnpy
magic-wormhole,magic-wormhole/magic-wormhole,https://github.com/magic-wormhole/magic-wormhole
weblate,WeblateOrg/weblate,https://github.com/WeblateOrg/weblate
csvkit,wireservice/csvkit,https://github.com/wireservice/csvkit
xhtml2pdf,xhtml2pdf/xhtml2pdf,https://github.com/xhtml2pdf/xhtml2pdf
XX-Net,XX-net/XX-Net,https://github.com/XX-net/XX-Net
pyzmq,zeromq/pyzmq,https://github.com/zeromq/pyzmq
moviepy,Zulko/moviepy,https://github.com/Zulko/moviepy
