project,name,path,first_buildable_sha,first_buildable_date
asciinema,asciinema/asciinema,https://github.com/asciinema/asciinema,f0f908872ca0364128b546bcc8af918d2fc47566,2025-01-21T14:14:10Z
stacks-core,stacks-network/stacks-core,https://github.com/stacks-network/stacks-core,e50555095ee3b12aa3d79641c1196fbb29e95e4a,2025-04-22T14:51:53Z
broot,Canop/broot,https://github.com/Canop/broot,68791feba68f507e9cb91cb730d240bb0ca97003,2024-12-25T19:33:01Z
navi,denisidoro/navi,https://github.com/denisidoro/navi,805fe125dadc82c3aad54012b695bd479914ce1d,2025-01-03T11:11:05Z
diesel,diesel-rs/diesel,https://github.com/diesel-rs/diesel,8ff6c0447d4f5aa1ffe6387c42df801d19666c7c,2024-12-25T19:12:21Z
ggez,ggez/ggez,https://github.com/ggez/ggez,34939574bd35a0270f7b197e8817daf29dc7de0c,2024-12-28T00:03:25Z
commonmarker,gjtorikian/commonmarker,https://github.com/gjtorikian/commonmarker,c3ad8e92755e5aeaa65d5634d8f86464a7a1e42f,2024-12-29T16:10:31Z
juniper,graphql-rust/juniper,https://github.com/graphql-rust/juniper,5bda80ed525f2708f8d88da3b9ebf3a781f93e2d,2025-01-02T14:05:28Z
habitat,habitat-sh/habitat,https://github.com/habitat-sh/habitat,7f5f1719fef9bdee7d828e42ce78b08b392cf493,2024-12-27T04:21:31Z
iced,iced-rs/iced,https://github.com/iced-rs/iced,bfab1a32d1d50875875800413b6f399689ec6d04,2025-01-06T19:13:51Z
imageflow,imazen/imageflow,https://github.com/imazen/imageflow,a73dae809fc30df1fc380001099f5b270d8e9e0e,2025-01-20T22:23:36Z
neon,neon-bindings/neon,https://github.com/neon-bindings/neon,c0f044232793c294b21b7ced84266c035646e4fe,2025-01-13T13:42:34Z
rayon,rayon-rs/rayon,https://github.com/rayon-rs/rayon,95eed8b3062b3b81a893a9514693b90c3bb2c99c,2025-04-09T00:16:20Z
binwalk,ReFirmLabs/binwalk,https://github.com/ReFirmLabs/binwalk,2c4a78ccd8685949ce04a24b4b5e7bff90bca0dd,2025-02-01T22:51:42Z
rust-analyzer,rust-lang/rust-analyzer,https://github.com/rust-lang/rust-analyzer,630628f3c81750b818464ef8d80478f759556e79,2025-06-17T09:59:50Z
cargo,rust-lang/cargo,https://github.com/rust-lang/cargo,24388070488952b39e8d3c7d9a707b0d25e8ac7f,2024-12-18T21:44:01Z
mdBook,rust-lang/mdBook,https://github.com/rust-lang/mdBook,084771bcd523f6ce8548f7642e28e58c695f61e3,2025-04-23T04:11:54Z
rust-clippy,rust-lang/rust-clippy,https://github.com/rust-lang/rust-clippy,6f66a6037e4246305559e503a53fd42b83d809b3,2025-02-28T20:19:03Z
rustfmt,rust-lang/rustfmt,https://github.com/rust-lang/rustfmt,f649c4c1771db3f9a6e4edeabde69978d2c0a340,2025-01-02T03:10:06Z
RustPython,RustPython/RustPython,https://github.com/RustPython/RustPython,1abaf87abe241da7a9836bd387f2aee33a1d6378,2024-12-30T07:44:55Z
wasm-pack,drager/wasm-pack,https://github.com/drager/wasm-pack,a4e5cc0555796939df6d7bab98a050951b9fced5,2025-01-21T06:49:58Z
serde,serde-rs/serde,https://github.com/serde-rs/serde,b6f339ca3676584e1c26028b4040c337b0105e34,2024-12-27T02:33:33Z
rust-postgres,rust-postgres/rust-postgres,https://github.com/rust-postgres/rust-postgres,0a25fd191010925cfec38f29086e51a567d3aa79,2025-01-20T22:21:23Z
bat,sharkdp/bat,https://github.com/sharkdp/bat,75fadb8d1c7dd88e90c0e7a0fa7e56a780160c1d,2024-12-30T19:12:48Z
fd,sharkdp/fd,https://github.com/sharkdp/fd,72a58676c6e2e565af0749047d4363212bb4bc1a,2025-02-02T08:27:51Z
hexyl,sharkdp/hexyl,https://github.com/sharkdp/hexyl,733b9e12e41d979282b2343decb099546545292d,2024-12-27T13:25:01Z
spotifyd,Spotifyd/spotifyd,https://github.com/Spotifyd/spotifyd,c6e6af449b75225224158aeeef64de485db1139e,2024-12-27T17:53:36Z
tantivy,quickwit-oss/tantivy,https://github.com/quickwit-oss/tantivy,8edb439440a9c51af83a1370ccdc667829009c3a,2024-12-26T09:25:05Z
tock,tock/tock,https://github.com/tock/tock,5ca70175976209629ffc2ad890f67edbc5621de5,2024-11-27T18:25:58Z
tokio,tokio-rs/tokio,https://github.com/tokio-rs/tokio,970d880ceb473b222a9ddd4b35b934ca68cecb4a,2024-12-29T17:17:02Z
coreutils,uutils/coreutils,https://github.com/uutils/coreutils,0532ea4727d1da95adc6ab97e5e684da07139d17,2025-08-14T12:18:15Z
