repo,language,stars,url,ci_status,build_tool,is_buildable,primary_ci,first_buildable_sha,first_buildable_date
1backend/1backend,Go,2323,https://github.com/1backend/1backend,SUCCESS,Unknown,False,GitHub Actions,24e14ff46a9eed47535d919c11d8ed01d823c426,2025-03-22T20:29:52Z
qax-os/excelize,Go,20283,https://github.com/qax-os/excelize,SUCCESS,GoModules,True,GitHub Actions,3f6ecffcca8968aa4bffe0ca0f3769159745bf3a,2024-12-29T04:30:28Z
99designs/aws-vault,Go,8954,https://github.com/99designs/aws-vault,SUCCESS,GoModules,True,GitHub Actions,af7283ef69c5dc95862d2ceb391036651e7bbcc7,2025-12-30T11:23:11Z
99designs/gqlgen,Go,10660,https://github.com/99designs/gqlgen,SUCCESS,GoModules,True,GitHub Actions,dc565aaa30d1d9828bf079b6f417e5155c0df34b,2024-12-25T19:07:37Z
aceld/zinx,Go,7703,https://github.com/aceld/zinx,SUCCESS,GoModules,True,GitHub Actions,77b12fb0df0ca54bf98a5f7b38cd5c21ab29bd2d,2024-12-23T12:31:51Z
AdguardTeam/AdGuardHome,Go,32488,https://github.com/AdguardTeam/AdGuardHome,SUCCESS,GoModules,True,GitHub Actions,446f21a5114966fe3ae7389174f8219d600135a9,2025-01-10T13:21:34Z
adnanh/webhook,Go,11568,https://github.com/adnanh/webhook,SUCCESS,GoModules,True,GitHub Actions,eb7e8f5ba827ee4c2b6dc687a4d9685d5f207386,2025-01-11T23:42:22Z
ahmetb/go-linq,Go,3643,https://github.com/ahmetb/go-linq,SUCCESS,GoModules,True,GitHub Actions,432523652d839fd39ba362a35edf2493c8ef3bfa,2025-10-13T04:29:38Z
ahmetb/kubectx,Go,19453,https://github.com/ahmetb/kubectx,SUCCESS,GoModules,True,GitHub Actions,0bcd0d5dd51b29f5139a45e50ddd50de4d0e36c9,2025-01-07T20:25:01Z
alecthomas/chroma,Go,4840,https://github.com/alecthomas/chroma,SUCCESS,GoModules,True,GitHub Actions,f3ff20b1f5312e1ada0ac84763a2ee403270131c,2024-12-25T08:37:32Z
alecthomas/kingpin,Go,3559,https://github.com/alecthomas/kingpin,SUCCESS,GoModules,True,GitHub Actions,5e8f9d9916db065bf6e3067f7701382f445659b5,2025-05-06T23:56:41Z
alecthomas/participle,Go,3838,https://github.com/alecthomas/participle,SUCCESS,GoModules,True,GitHub Actions,6b79c5d7a78bf6e4f41831272fd8cb8c1599233a,2025-01-07T00:26:11Z
allegro/bigcache,Go,8078,https://github.com/allegro/bigcache,SUCCESS,GoModules,True,GitHub Actions,a2f05d7cbfdc7000a8b7e1c40f27d3f239c204df,2024-05-14T16:54:32Z
anacrolix/torrent,Go,5956,https://github.com/anacrolix/torrent,FAILURE,GoModules,True,GitHub Actions,75e6b656584519f4b0fbe258dd119a8a9da52646,2024-12-28T23:55:04Z
semaphoreui/semaphore,Go,13186,https://github.com/semaphoreui/semaphore,SUCCESS,GoModules,True,GitHub Actions,d76a0460679110b24ce5681ee7e66b74daa95faa,2024-12-21T23:13:26Z
antonmedv/fx,Go,20255,https://github.com/antonmedv/fx,SUCCESS,GoModules,True,GitHub Actions,8b9c7ccb8fb5f0d0e8e00459a070342bd6769e4b,2025-02-13T14:34:48Z
apache/dubbo-admin,Go,4050,https://github.com/apache/dubbo-admin,SUCCESS,GoModules,True,GitHub Actions,fbf1f31f57e457752978ce23961bb4b64e2bc266,2025-07-31T06:09:22Z
appleboy/gorush,Go,8687,https://github.com/appleboy/gorush,FAILURE,GoModules,True,GitHub Actions,d3659fc9a162c284d3fc79ae56e9c6e374871553,2025-01-04T09:11:03Z
aptly-dev/aptly,Go,2764,https://github.com/aptly-dev/aptly,SUCCESS,GoModules,True,GitHub Actions,4076941bd78ee049387d956c10a39c42fb9d7437,2025-01-11T14:58:10Z
aquasecurity/kube-bench,Go,7930,https://github.com/aquasecurity/kube-bench,SUCCESS,GoModules,True,GitHub Actions,a38a3c5bbcd83a766e923fccf0ed3605f91885be,2025-01-10T09:18:50Z
aquasecurity/trivy,Go,31840,https://github.com/aquasecurity/trivy,SUCCESS,GoModules,True,GitHub Actions,03db7fc1ba5daddc0018cbb6f8febaf1b87efe7f,2024-12-25T05:28:37Z
arduino/arduino-cli,Go,4795,https://github.com/arduino/arduino-cli,PENDING,GoModules,True,GitHub Actions,82f37f241bfb2181762edbf36199c7bf7166ecef,2024-12-24T16:51:40Z
argoproj/argo-cd,Go,21944,https://github.com/argoproj/argo-cd,PENDING,GoModules,True,GitHub Actions,c6893527a76749b4f64862b33981572188cc5f0b,2024-12-26T12:11:42Z
argoproj/argo-workflows,Go,16446,https://github.com/argoproj/argo-workflows,FAILURE,GoModules,True,GitHub Actions,2e0f2f7767fe5ef767bc3e20ec6952a51027b9f9,2024-12-30T10:35:38Z
asdf-vm/asdf,Go,25044,https://github.com/asdf-vm/asdf,SUCCESS,GoModules,True,GitHub Actions,4290ac4a1d034126967a157baa926fe8ed3ab9a5,2025-01-25T14:16:23Z
asynkron/protoactor-go,Go,5420,https://github.com/asynkron/protoactor-go,SUCCESS,GoModules,True,GitHub Actions,80203e89bc1758110a611ac192278f4559964142,2025-01-01T14:13:40Z
avelino/awesome-go,Go,164707,https://github.com/avelino/awesome-go,SUCCESS,GoModules,True,GitHub Actions,3c0794937b1a8acab374db46df1192f5c52c7f36,2024-12-25T10:46:05Z
awnumar/memguard,Go,2712,https://github.com/awnumar/memguard,SUCCESS,GoModules,True,GitHub Actions,7d0d55fface1b80101b43301166efa821111aa63,2025-07-13T17:53:19Z
aws/amazon-ecs-agent,Go,2144,https://github.com/aws/amazon-ecs-agent,FAILURE,Unknown,False,GitHub Actions,5073adbb5cd89f1736df8537464ac42b795bba27,2025-01-02T17:28:48Z
aws/aws-lambda-go,Go,3797,https://github.com/aws/aws-lambda-go,SUCCESS,GoModules,True,GitHub Actions,8e674dad171cebefc4819d785251a76334827bb2,2024-04-16T20:24:45Z
Azure/draft,Go,642,https://github.com/Azure/draft,SUCCESS,GoModules,True,GitHub Actions,786a16c61f86a4f789b043d95666990f4406b72a,2024-12-18T23:23:05Z
bfenetworks/bfe,Go,6233,https://github.com/bfenetworks/bfe,SUCCESS,GoModules,True,GitHub Actions,786136b722960c17e517ace2965c9d349016acde,2024-12-30T15:54:30Z
bettercap/bettercap,Go,18817,https://github.com/bettercap/bettercap,SUCCESS,GoModules,True,GitHub Actions,61a9069e50ea079f081b15498de780cce380786a,2025-01-09T01:55:51Z
go-kratos/kratos,Go,25430,https://github.com/go-kratos/kratos,SUCCESS,GoModules,True,GitHub Actions,ff30a75a868dbb6273f69deeb4d8c7bde13e26c8,2025-01-24T03:05:57Z
bitnami-labs/sealed-secrets,Go,8895,https://github.com/bitnami-labs/sealed-secrets,SUCCESS,GoModules,True,GitHub Actions,419ddcf068a05a0efa6d1673cb4c674c8ed9ddca,2024-12-26T11:21:41Z
blevesearch/bleve,Go,10957,https://github.com/blevesearch/bleve,NO_CI,GoModules,True,GitHub Actions,2c696d8662354138f212cb6659fd92db771c2a17,2025-01-06T20:59:29Z
btcsuite/btcd,Go,6666,https://github.com/btcsuite/btcd,SUCCESS,GoModules,True,GitHub Actions,c2b47e014983654c1326f8ae2525ba49bc9e0182,2025-01-02T15:20:37Z
probelabs/goreplay,Go,19244,https://github.com/probelabs/goreplay,FAILURE,GoModules,True,GitHub Actions,7ccde5a3734a3393c68ffd5a7212a8288cd83159,2025-01-26T08:42:53Z
BurntSushi/toml,Go,4892,https://github.com/BurntSushi/toml,SUCCESS,GoModules,True,GitHub Actions,2918ee74bb664c418ae9b2d6ba356c2ca6c24506,2025-03-17T09:12:46Z
caddyserver/caddy,Go,69756,https://github.com/caddyserver/caddy,SUCCESS,GoModules,True,GitHub Actions,f2c17d1f3fc4d9ad6324e05bab0c29aafb23e2e1,2024-12-30T10:38:29Z
casbin/casbin,Go,19822,https://github.com/casbin/casbin,SUCCESS,GoModules,True,GitHub Actions,d4fc6976a9111013a372c6f60953ec92b1d4cf28,2024-12-28T12:11:50Z
cenkalti/backoff,Go,3935,https://github.com/cenkalti/backoff,SUCCESS,GoModules,True,GitHub Actions,cb748ee8332b225d3394cf346b33df94aab01c9a,2025-01-17T07:26:25Z
centrifugal/centrifugo,Go,9947,https://github.com/centrifugal/centrifugo,SUCCESS,GoModules,True,GitHub Actions,89abf7dc5a5b51861ae614347d0200a1437512a4,2025-01-01T12:52:42Z
cespare/reflex,Go,3528,https://github.com/cespare/reflex,NO_CI,GoModules,True,GitHub Actions,42ac3d5e9de2e403857ae0246f1288c411a0c291,2026-02-26T23:24:31Z
chaosblade-io/chaosblade,Go,6290,https://github.com/chaosblade-io/chaosblade,SUCCESS,GoModules,True,GitHub Actions,13152179121f8a16f8cff696b952adb7722c2ae0,2025-09-03T11:23:17Z
charmbracelet/glow,Go,22695,https://github.com/charmbracelet/glow,NO_CI,GoModules,True,GitHub Actions,51fa19b8b495d500aff08a2d5d07f85e776dae9d,2025-02-11T13:35:31Z
cheat/cheat,Go,13170,https://github.com/cheat/cheat,NO_CI,GoModules,True,GitHub Actions,8eafa5adfe9a107afc3d2a0e247b760bb45e7c97,2026-02-15T02:31:26Z
