repo,language,stars,path,ci_status,build_tool,is_buildable,primary_ci,first_buildable_sha,first_buildable_date
0xAX/linux-insides,Python,32163,https://github.com/0xAX/linux-insides,NO_CI,Unknown,False,GitHub Actions,3504d5315fff9586401590cc2513e23ad9a87b1b,2025-04-13T15:42:57Z
1adrianb/face-alignment,Python,7485,https://github.com/1adrianb/face-alignment,SUCCESS,Pip/Poetry,True,GitHub Actions,bacd0afb400a46ce4e94bf231624591495d932a2,2024-08-30T14:19:23Z
python-websockets/websockets,Python,5630,https://github.com/python-websockets/websockets,FAILURE,Pip/Poetry,True,GitHub Actions,197b3ec2c7acf3a3804a94c0c02ed8e27051b0f0,2025-01-03T21:50:31Z
ActivityWatch/activitywatch,Python,16667,https://github.com/ActivityWatch/activitywatch,FAILURE,Pip/Poetry,True,GitHub Actions,5f833cfac5d3e0e43aeb05bf75687b3123c0106f,2025-02-03T10:16:21Z
adamchainz/django-cors-headers,Python,5662,https://github.com/adamchainz/django-cors-headers,SUCCESS,Pip/Poetry,True,GitHub Actions,de836c8ab593488a1a7ae42fbb8bf16be4b2b8c9,2025-01-06T12:28:25Z
agronholm/apscheduler,Python,7304,https://github.com/agronholm/apscheduler,FAILURE,Pip/Poetry,True,GitHub Actions,74a5ba4d8b4851aa11bcd2ec5baf8f44912ff794,2025-01-09T11:50:37Z
ahupp/python-magic,Python,2880,https://github.com/ahupp/python-magic,SUCCESS,Setup.py,True,GitHub Actions,a3ed0862e67b50aaeafb7d14de9169b51efb3984,2025-02-19T20:21:29Z
aio-libs/aiohttp,Python,16256,https://github.com/aio-libs/aiohttp,SUCCESS,Pip/Poetry,True,GitHub Actions,e1391c7a3821abdb7737586fe975189eabd600dd,2024-11-19T03:06:36Z
AirtestProject/Airtest,Python,9143,https://github.com/AirtestProject/Airtest,NO_CI,Pip/Poetry,True,GitHub Actions,6623718bab59ec970ad580016384e3d02daa11f4,2025-05-27T11:24:25Z
ajenti/ajenti,Python,7878,https://github.com/ajenti/ajenti,SUCCESS,Unknown,False,GitHub Actions,3e27366e0b16fc7d979f5b28acc747bba4a3b9af,2024-12-30T11:44:08Z
alecthomas/voluptuous,Python,1849,https://github.com/alecthomas/voluptuous,FAILURE,Pip/Poetry,True,GitHub Actions,c5b63f80f156deeb4ef9646555eb41413edad7f5,2025-08-31T08:10:23Z
AlessandroZ/LaZagne,Python,10643,https://github.com/AlessandroZ/LaZagne,SUCCESS,Pip/Poetry,True,GitHub Actions,3b0f7a20567e85003b8c20ae6259676af80e5a2c,2025-02-11T17:47:07Z
vega/altair,Python,10252,https://github.com/vega/altair,FAILURE,Pip/Poetry,True,GitHub Actions,7c2d97ffe80749a7cd1b24703547e40f4918172d,2024-12-29T19:03:27Z
amanusk/s-tui,Python,4923,https://github.com/amanusk/s-tui,SUCCESS,Setup.py,True,GitHub Actions,de3e91a418f7e31e1ab1e6d3b0e885d4d8edbf71,2025-05-01T13:03:43Z
amoffat/sh,Python,7233,https://github.com/amoffat/sh,NO_CI,Pip/Poetry,True,GitHub Actions,3a9d8ce9fb88e4abbea5dbb7e84929e6f8968a63,2025-01-08T22:32:27Z
andialbrecht/sqlparse,Python,3992,https://github.com/andialbrecht/sqlparse,SUCCESS,Pip/Poetry,True,GitHub Actions,a801100e9843786a9139bebb97c951603637129c,2025-02-16T09:19:00Z
andkret/Cookbook,Python,14945,https://github.com/andkret/Cookbook,SUCCESS,Unknown,False,GitHub Actions,451fcf67c42b257be2bbfd8800aff6752fe87bce,2025-03-04T11:23:49Z
androguard/androguard,Python,5950,https://github.com/androguard/androguard,NO_CI,Pip/Poetry,True,GitHub Actions,ec84eb4a8f8739eea026e9755c9296ccc7af90fe,2025-02-13T15:06:23Z
redis/redis-py,Python,13470,https://github.com/redis/redis-py,FAILURE,Pip/Poetry,True,GitHub Actions,a694a79dda3801db509bf3645c5518a8fd35486e,2024-12-30T09:06:35Z
angr/angr,Python,8486,https://github.com/angr/angr,SUCCESS,Pip/Poetry,True,GitHub Actions,26173929ee07f44e8f2f79c5267f630b9c11d368,2024-12-11T18:15:47Z
anishathalye/dotbot,Python,7791,https://github.com/anishathalye/dotbot,SUCCESS,Pip/Poetry,True,GitHub Actions,256babe052d2c8059de23608baca21d34715058b,2024-12-26T05:10:05Z
anishathalye/git-remote-dropbox,Python,3126,https://github.com/anishathalye/git-remote-dropbox,SUCCESS,Pip/Poetry,True,GitHub Actions,ab5e97522914b7c84fc45f57e4286ec2c2377cc1,2024-03-15T10:22:32Z
anishathalye/neural-style,Python,5552,https://github.com/anishathalye/neural-style,SUCCESS,Pip/Poetry,True,GitHub Actions,e406d18f91b420cd8c580e879b04a1ffd9cb0055,2025-02-01T17:32:13Z
ansible/molecule,Python,4068,https://github.com/ansible/molecule,SUCCESS,Pip/Poetry,True,GitHub Actions,ae8c138469df64258c74097454109054b2fa9840,2024-12-22T05:14:26Z
ansible/ansible-lint,Python,3830,https://github.com/ansible/ansible-lint,FAILURE,Pip/Poetry,True,GitHub Actions,45f2f70faeca76aac5fe5ac691d11f5418a9aeda,2025-02-17T07:06:45Z
ansible/awx,Python,15249,https://github.com/ansible/awx,FAILURE,Pip/Poetry,True,GitHub Actions,612e8e768898d32d017ae989e04fb5e63a7b3f77,2025-10-09T08:28:55Z
apache/airflow,Python,44208,https://github.com/apache/airflow,SUCCESS,Pip/Poetry,True,GitHub Actions,dc9ad8c53ceabfea24b5bd8f11f18b1c14bb7a46,2025-09-26T20:59:15Z
apache/tvm,Python,13110,https://github.com/apache/tvm,PENDING,Pip/Poetry,True,GitHub Actions,567eeed38bdbcefb68e36328af6ab1501a81d51e,2024-12-15T14:56:01Z
apache/libcloud,Python,2109,https://github.com/apache/libcloud,SUCCESS,Pip/Poetry,True,GitHub Actions,891fd290201823d3bbc6da80854284dd0d6f7130,2025-03-02T13:31:04Z
