repo,language,stars,url,ci_status,build_tool,is_buildable,primary_ci,first_buildable_sha,first_buildable_date
actix/actix-web,Rust,24306,https://github.com/actix/actix-web,SUCCESS,Cargo,True,GitHub Actions,0fafb486d4877df3d505ea6533765af499d99a5e,2025-01-06T08:08:33Z
actix/actix,Rust,9138,https://github.com/actix/actix,SUCCESS,Cargo,True,GitHub Actions,07711c92e037523d7705b3208921f43cf63599f0,2025-02-03T18:58:35Z
alacritty/alacritty,Rust,62362,https://github.com/alacritty/alacritty,SUCCESS,Cargo,True,GitHub Actions,62d5b134b3c32b6b691bb6aa6304e3d5d5c28c6d,2024-12-28T05:53:18Z
anordal/shellharden,Rust,4748,https://github.com/anordal/shellharden,SUCCESS,Cargo,True,GitHub Actions,20cad8274587cb9c8817981bf569629271a6e400,2025-10-16T19:59:22Z
apache/mahout,Rust,2207,https://github.com/apache/mahout,SUCCESS,Unknown,False,GitHub Actions,d22bf4b6fc0caea6b5c9b5ae486384ec9e18389d,2025-01-21T20:27:57Z
asciinema/asciinema,Rust,16802,https://github.com/asciinema/asciinema,SUCCESS,Cargo,True,GitHub Actions,f0f908872ca0364128b546bcc8af918d2fc47566,2025-01-21T14:14:10Z
async-rs/async-std,Rust,4072,https://github.com/async-rs/async-std,FAILURE,Cargo,True,GitHub Actions,fb56bffdbb4699e1add70a0f834dee6f57c398eb,2025-03-01T21:20:34Z
benfred/py-spy,Rust,14928,https://github.com/benfred/py-spy,SUCCESS,Cargo,True,GitHub Actions,8f2c99441aeca17459c2a16722b457635de6cea5,2025-07-12T07:31:14Z
stacks-network/stacks-core,Rust,3052,https://github.com/stacks-network/stacks-core,SUCCESS,Cargo,True,GitHub Actions,e50555095ee3b12aa3d79641c1196fbb29e95e4a,2025-04-22T14:51:53Z
BurntSushi/ripgrep,Rust,59746,https://github.com/BurntSushi/ripgrep,SUCCESS,Cargo,True,GitHub Actions,94305125ef33b86151b6cd2ce2b33d641f6b6ac3,2024-12-31T13:23:13Z
bytecodealliance/wasmtime,Rust,17564,https://github.com/bytecodealliance/wasmtime,SUCCESS,Cargo,True,GitHub Actions,41ff8e7b6b47ffca748db6fc5ec433d6c69fe486,2024-12-26T16:05:40Z
Canop/broot,Rust,12376,https://github.com/Canop/broot,SUCCESS,Cargo,True,GitHub Actions,68791feba68f507e9cb91cb730d240bb0ca97003,2024-12-25T19:33:01Z
cantino/mcfly,Rust,7595,https://github.com/cantino/mcfly,SUCCESS,Cargo,True,GitHub Actions,6362084ae98110ab39ebc35c3b7ebc698dec7899,2025-01-25T18:08:55Z
clap-rs/clap,Rust,16053,https://github.com/clap-rs/clap,FAILURE,Cargo,True,GitHub Actions,06a23115862a255be323695812e1feba8f675d45,2025-12-29T15:18:07Z
